TEC,TC,TED,TVV,TTC
1.71,1.71,0.76,5.50,18.95
1.62,1.62,0.72,5.21,17.95
1.78,1.78,0.79,5.63,19.76
1.69,1.69,0.75,5.41,18.80
1.34,1.73,0.77,5.57,19.20
1.73,1.73,0.77,5.47,19.20
1.29,1.66,0.74,5.35,18.45
1.76,1.76,0.78,5.72,19.55
1.65,1.65,0.73,5.32,18.35
1.11,1.66,0.74,5.35,18.45
1.67,1.67,0.74,5.39,18.58
1.72,1.72,0.76,5.44,19.10
1.73,1.73,0.77,5.67,19.22
1.62,1.62,0.72,5.21,17.97
1.47,1.65,0.73,5.33,18.37
1.71,1.71,0.76,5.50,18.95
1.65,1.65,0.74,5.28,18.38
1.69,1.69,0.75,5.44,18.75
1.30,1.69,0.75,5.46,18.82
1.64,1.64,0.73,5.29,18.25
